	input_vars_id	input_vars	satdeficit	eval_fraction	regtypes	tree_maxdepth	subdomain_sizes
81	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
82	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
83	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
84	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
85	R021	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
86	R031	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
87	R023	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
88	R321	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
89	R3021	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
90	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
91	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
92	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
93	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
94	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
95	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
96	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
97	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
98	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
99	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
100	R021	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
101	R031	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
102	R023	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
103	R321	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
104	R3021	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'qlm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
105	R0	('qtm', 'qsm', 'pm', 'tm', 'qlm')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
106	R1	('qtm', 'qsm', 'pm', 'tm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
107	R2	('qtm', 'qsm', 'pm', 'tm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
108	R3	('qtm', 'qsm', 'pm', 'tm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
109	R01	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
110	R02	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
111	R03	('qtm', 'qsm', 'pm', 'tm', 'qlm', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
112	R21	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
113	R31	('qtm', 'qsm', 'pm', 'tm', 'var_t', 'skew_l')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
114	R23	('qtm', 'qsm', 'pm', 'tm', 'var_l', 'var_t')	False	(0.2,)	('decision_tree', 'random_forest')	(10,)	('1', '05', '025', '0125', '00625')
